#                 x                   p                 rho                 U_x                 U_y                 U_z
    0.0730947915832       4465530.40389       4.32176333711       214.306143873  -0.000432623650327   2.38318041611e-14
    0.0739160701403       4464864.15474       4.32120297981       215.051983604   -0.00043262365032   2.38807198137e-14
    0.0747373486974       4464148.36802       4.32060291422       215.846718009  -0.000468127766679   2.41752138574e-14
    0.0755586272545       4463419.95205       4.31999271336         216.6539173  -0.000468127766672   2.42281537565e-14
    0.0763799058116        4462667.9347       4.31936365345       217.483948801  -0.000504941450113   2.44433808022e-14
    0.0772011843687       4461873.67879       4.31870086905       218.354840922  -0.000504941450105   2.45004979745e-14
    0.0780224629259       4461079.42288       4.31803808464       219.225733043  -0.000504941450098   2.45576151468e-14
     0.078843741483       4460221.02822       4.31732387924       220.157398839  -0.000543040770213   2.47671045488e-14
    0.0796650200401       4459357.06275       4.31660519694       221.094342677  -0.000543040770205   2.48285537011e-14
    0.0804862985972       4458457.52835       4.31585807662       222.064265484  -0.000582474177949   2.50573962045e-14
    0.0813075771543       4457519.72275       4.31508037854       223.069671506  -0.000582474177941   2.51233354267e-14
    0.0821288557114       4456578.52729         4.314299972       224.078151785  -0.000623240698769   2.53863121071e-14
    0.0829501342685       4455562.47217       4.31345951882       225.154509399   -0.00062324069876   2.54569046659e-14
    0.0837714128257       4454546.41706       4.31261906565       226.230867013   -0.00062324069875   2.55274972248e-14
    0.0845926913828        4453480.1456       4.31173843891       227.351716947  -0.000665423135485   1.67679962864e-14
    0.0854139699399        4452381.0797        4.3108315934       228.501622018  -0.000665423135475    1.6843412431e-14
     0.086235248497       4451267.33235        4.3099129816       229.664232417   -0.00070904379652   1.68561153965e-14
    0.0870565270541       4450080.11964       4.30893542861       230.890415957   -0.00070904379651   1.69365342393e-14
    0.0878778056112       4448892.90692       4.30795787562       232.116599498  -0.000709043796499   1.70169530821e-14
    0.0886990841683       4447637.43466       4.30692567795       233.400435687  -0.000754220555898   1.72247271151e-14
    0.0895203627255       4446356.48108       4.30587309607       234.705792523  -0.000754220555887   1.73103385124e-14
    0.0903416412826       4445046.59976       4.30479731354       236.034988875   -0.00080099856209   2.72854522337e-14
    0.0911629198397       4443665.82376       4.30366463451       237.422607451  -0.000800998562078     2.737645874e-14
    0.0919841983968       4442285.04776       4.30253195548       238.810226027  -0.000800998562066   2.74674652463e-14
    0.0928054769539        4440813.6076       4.30132664306       240.270703788  -0.000849531190965   2.77058034474e-14
     0.093626755511       4439326.34425       4.30010866722        241.74389624  -0.000849531190952   2.78024222882e-14
    0.0944480340681       4437792.08893       4.29885298108       243.253907312  -0.000899886125358   3.83444681089e-14
    0.0952693126253       4436191.05095       4.29754367584       244.816241163  -0.000899886125345   3.84469332588e-14
    0.0960905911824       4434590.01298        4.2962343706       246.378575015  -0.000899886125331   3.85493984088e-14
    0.0969118697395       4432870.26676       4.29482988926       248.031548611  -0.000952253087588   3.93641137595e-14
    0.0977331482966        4431147.4321       4.29342294334       249.686879326  -0.000952253087574   3.94726780781e-14
    0.0985544268537       4429354.55834       4.29195975777       251.394322287   -0.00100672259886   4.02801984448e-14
    0.0993757054108       4427501.11744       4.29044791682       253.146828163   -0.00100672259885   4.03951359643e-14
     0.100196983968       4425633.94071       4.28892504275       254.909290587   -0.00106352234968   3.04234446528e-14
     0.101018262525       4423640.16226       4.28730059655       256.763509328   -0.00106352234967    3.0545052977e-14
     0.101839541082       4421646.38382       4.28567615035        258.61772807   -0.00106352234965   3.06666613012e-14
     0.102660819639       4419552.98003       4.28397165185       260.542283164    -0.0011227670366   3.08479225199e-14
     0.103482098196       4417408.13874       4.28222580364       262.503151938   -0.00112276703658   3.09765254512e-14
     0.104303376754       4415227.26827       4.28045100606       264.488793126   -0.00118472534504   3.13316786556e-14
     0.105124655311       4412919.48122       4.27857428531       266.561691631   -0.00118472534503   3.14676290199e-14
     0.105945933868       4410611.69417       4.27669756457       268.634590136   -0.00118472534501   3.16035793841e-14
     0.106767212425       4408166.07888       4.27471000593       270.799773952   -0.00124953921831   3.19756295464e-14
     0.107588490982       4405682.20533       4.27269166548       272.990572667   -0.00124953921829   3.21193123571e-14
     0.108409769539       4403132.66885       4.27062051934       275.224180137   -0.00131752339928   4.41097578089e-14
     0.109231048096       4400458.10635       4.26844886373       277.539293472   -0.00131752339926   4.42615937529e-14
     0.110052326653       4397783.54385       4.26627720811       279.854406808   -0.00131752339924   4.44134296969e-14
      0.11087360521       4394921.54326       4.26395468276       282.288505107   -0.00138885235962   4.48890235689e-14
     0.111694883768       4392040.08733       4.26161648395          284.734952    -0.0013888523596   4.50494729809e-14
     0.112516162325       4389053.44492       4.25919360634       287.246405979   -0.00146389441218   4.57830731298e-14
     0.113337440882       4385947.02958        4.2566743341       289.831877939   -0.00146389441215    4.5952640455e-14
     0.114158719439       4382833.45818       4.25414930839       292.421657378   -0.00154286451493   4.67168229774e-14
     0.114979997996       4379481.95792       4.25143255087       295.154597176   -0.00154286451491    4.6896061932e-14
     0.115801276553       4376130.45765       4.24871579335       297.887536974   -0.00154286451488   4.70753008867e-14
      0.11662255511       4372620.85143       4.24587160467       300.713089828   -0.00162619511987   4.79653607284e-14
     0.117443833667         4369001.744       4.24293918123        303.60278127   -0.00162619511984   4.81548801879e-14
     0.118265112224       4365338.00329       4.23997076484       306.517927968    -0.0017141529765   4.92039546328e-14
