#                 y                   p                 rho                 U_x                 U_y                 U_z
    0.0250303389121       88418.0389749      0.163162285943       2431.76739209       172.958484522    -0.0192239748465
    0.0251848410042       88406.1555723       0.16313500661       2431.56532427       175.033335118    -0.0150830949064
    0.0253393430962       88394.2721698      0.163107727278       2431.36325645       177.108185715    -0.0109422149662
    0.0254938451883       88382.3887672      0.163080447946       2431.16118863       179.183036311   -0.00677832573509
    0.0256483472803       88370.5053646      0.163053168614       2430.95912081       181.257886907   -0.00259183916362
    0.0258028493724       88365.6858499      0.163040350852       2430.81825217        182.57842241   -0.00157975979587
    0.0259573514644       88372.9173183      0.163052214357       2430.78197607       182.610472746   -0.00599390291004
    0.0261118535565       88380.1487868      0.163064077862       2430.74569997       182.642523082    -0.0103946444076
    0.0262663556485       88387.3802552      0.163075941367       2430.70942387       182.674573418    -0.0147607008519
    0.0264208577406       88394.6117236      0.163087804872       2430.67314778       182.706623754    -0.0191267572962
    0.0265753598326       88396.5217681       0.16308974918       2430.63444016       182.748521841      -0.02221216706
    0.0267298619247       88366.4792569      0.163032133541       2430.58113244        182.84955087    -0.0176079181091
    0.0268843640167       88336.4367457      0.162974517903       2430.52782473         182.9505799    -0.0130036691581
    0.0270388661088       88306.3942345      0.162916902265       2430.47451702       183.051608929   -0.00839084691602
    0.0271933682008       88276.3517234      0.162859286626       2430.42120931       183.152637958   -0.00373588790159
    0.0273478702929       88256.2084232      0.162819805908       2430.33045447       183.641173944  -0.000867668317962
    0.0275023723849         88279.18223      0.162859323998       2430.07663511       185.818174413   -0.00579644794021
     0.027656874477       88302.1560369      0.162898842089       2429.82281575       187.995174881    -0.0107123093517
     0.027811376569       88325.1298438      0.162938360179        2429.5689964        190.17217535    -0.0155873959712
    0.0279658786611       88348.1036506      0.162977878269       2429.31517704       192.349175818    -0.0204624825907
    0.0281203807531       88358.3371545      0.162993630568       2429.05293305       194.575506966    -0.0221138069805
    0.0282748828452       88341.6783148      0.162959217825       2428.77290628       196.905965745    -0.0169603856579
    0.0284293849372        88325.019475      0.162924805081        2428.4928795       199.236424524    -0.0118069643353
    0.0285838870293       88308.3606352      0.162890392338       2428.21285273       201.566883304   -0.00662175897099
    0.0287383891213       88291.7017954      0.162855979595       2427.93282595       203.897342083   -0.00141157913577
    0.0288928912134       88292.8790661      0.162854803968       2427.80229137       204.398553258   -0.00386325286027
    0.0290473933054       88301.0211767      0.162866609751       2427.73019912       204.184970058   -0.00931074107585
    0.0292018953975       88309.1632872      0.162878415535       2427.65810687       203.971386858    -0.0147043486735
    0.0293563974895       88317.3053978      0.162890221318       2427.58601462       203.757803658    -0.0200924931929
    0.0295108995816       88317.1905091      0.162886620843       2427.50973053       203.559600272    -0.0233589005019
    0.0296654016736       88282.1536107      0.162817861403       2427.41571753       203.426444009    -0.0176516692591
    0.0298199037657       88247.1167124      0.162749101963       2427.32170453       203.293287745    -0.0119444380162
    0.0299744058577        88212.079814      0.162680342523       2427.22769152       203.160131482   -0.00619783237654
    0.0301289079498       88177.0429156      0.162611583083       2427.13367852       203.026975218  -0.000427743094956
    0.0302834100418       88196.1963199      0.162643220163        2426.8334126       205.216919076   -0.00545338091519
    0.0304379121339        88220.281662       0.16268399589       2426.51439047       207.618325371    -0.0114482893321
    0.0305924142259       88244.3670041      0.162724771618       2426.19536834       210.019731666    -0.0173928713489
     0.030746916318       88268.4523462      0.162765547346       2425.87634622       212.421137961    -0.0233374533656
      0.03090141841       88260.3635354      0.162746248812       2425.53297942       214.965618162    -0.0206635387571
    0.0310559205021       88238.7105792      0.162701623862       2425.17934927       217.570416199    -0.0143561938607
    0.0312104225941        88217.057623      0.162656998911       2424.82571913       220.175214236   -0.00802655412741
    0.0313649246862       88195.4046667       0.16261237396       2424.47208898       222.780012273   -0.00164974168846
    0.0315194267782        88196.321894       0.16260518472        2424.2870431       223.116179212   -0.00478269675313
    0.0316739288703       88205.4742693        0.1626116568       2424.16354504        222.62441987    -0.0113758713009
    0.0318284309623       88214.6266446      0.162618128879       2424.04004699       222.132660529    -0.0179089473377
