x,rho_g,rho_p,u_g,u_p,p_g,T_p
0.324979423868,0.811128504594,0.465988140466,0.247956597712,0.0716226819232,0.855807451666,1.00683028014
0.334979423868,0.787367251001,0.457278484866,0.280689814554,0.0865021137478,0.822220979652,0.991424609661
0.344979423868,0.763813223606,0.453741277267,0.31358401443,0.102855306916,0.789791150442,0.98205783214
0.354979423868,0.741262499295,0.44474848092,0.346434135618,0.11679375458,0.758123487966,0.968259286399
0.364979423868,0.718884121526,0.43811929429,0.379071529226,0.134829603743,0.727575942732,0.95356789358
0.374979423868,0.696717073446,0.43235184037,0.411724254552,0.150981568119,0.697961016854,0.942584972662
0.384979423868,0.675089634181,0.424169483118,0.444129755933,0.167185277042,0.669427247619,0.929484470999
0.394979423868,0.654172098529,0.418943689758,0.475745673863,0.183965841835,0.642310670199,0.915121357308
0.404979423868,0.63450612705,0.413851259794,0.505253480638,0.200506848543,0.617551209064,0.904158277436
0.414979423868,0.617363801364,0.409027608365,0.530518234598,0.21750972324,0.596692677978,0.895051237247
0.424979423868,0.603781252466,0.407460075531,0.548929710839,0.230754410687,0.580947725607,0.891744997464
0.434979423868,0.59378720478,0.40509031058,0.560852037653,0.2421612085,0.570508719914,0.887533284482
0.444979423868,0.586298337185,0.405494504256,0.567337354151,0.252697931345,0.563159776788,0.882086015444
0.454979423868,0.580255949496,0.410260706837,0.570537850178,0.258146440449,0.558284831746,0.880273265318
0.464979423868,0.573686263458,0.413083907333,0.574083309847,0.264361535426,0.553232128967,0.881663942281
0.474979423868,0.56663852094,0.418133250662,0.578665576912,0.271488867595,0.547651023054,0.880587114593
0.484979423868,0.560005230821,0.425094819909,0.582021306578,0.274813933826,0.542795558311,0.880839636999
0.494979423868,0.553070334254,0.433693681303,0.584449467336,0.279156642805,0.538305349191,0.881299588524
0.504979423868,0.545218307874,0.442581838679,0.587554140127,0.282267064991,0.533238036187,0.880675497435
0.514979423868,0.537696612367,0.447376765684,0.589892227045,0.286538864777,0.528577374443,0.881795614678
0.524979423868,0.530437540161,0.45784886985,0.59114176202,0.288058621273,0.524359889521,0.878844709994
0.534979423868,0.522443943408,0.468602063018,0.592720928922,0.290960148808,0.519769843864,0.882594667719
0.544979423868,0.513845082013,0.478259624598,0.594497491686,0.29256806268,0.514989865284,0.88901595175
0.554979423868,0.504821509498,0.487906927456,0.596180147681,0.29430629615,0.510100310016,0.898438644947
0.564979423868,0.494712564117,0.498132822276,0.598271010653,0.297347725607,0.504908810101,0.916295586495
