x_m,rho_exact,rhoP_exact,U_exact,Us_exact,p_exact,rho_numerical,rhoP_numerical,U_numerical,Us_numerical,p_numerical
1.285,1.0046312778568969,1.0102461234146263,0.004532576254622335,0.008564528967802042,1.0064837889996556,1.004603800315,1.01,0.0045012990004167,0.0085322500254739,1.0064263724565
1.295,1.0051438349737731,1.0108418637524927,0.005017602004050537,0.008691213145004418,1.0072013689632824,1.0051120189584,1.011,0.0049788131690589,0.0086625043504256,1.0071394857668
1.305,1.0056360917240026,1.0113948162073043,0.005482825570693044,0.008783597074561054,1.0078905284136037,1.0056030704303,1.011,0.0054404369698952,0.0087587051588398,1.0078290538428
1.315,1.0061061053950828,1.0119027985283422,0.005926410929672763,0.008841316159308192,1.008548547553116,1.0060723804463,1.012,0.0058813350688551,0.0088205184334482,1.0084885834435
1.325,1.006552021057783,1.01236380594146,0.006346607452232675,0.008864142608387679,1.0091728294808961,1.0065148343673,1.012,0.0062957167391502,0.0088475626558998,1.0091107751104
1.335,1.0069720788867016,1.0127760190610124,0.006741756814667775,0.008851986336233408,1.0097609104413823,1.0069300378835,1.012,0.0066834986028739,0.0088400662315392,1.0096950028243
1.345,1.0073646211054943,1.013137811070139,0.007110299542971084,0.008804895318097902,1.010310469547692,1.0073204674677,1.0130000000000001,0.0070481121366039,0.0087978865922365,1.010244712777
1.355,1.007728098529359,1.0134477541410667,0.0074507811673651565,0.0087230554007159,1.0108193379411026,1.0076872057634,1.0130000000000001,0.007391388154836,0.0087210390328687,1.0107614017616
1.365,1.0080610766789606,1.013704625070094,0.007761857962429767,0.008606789568852212,1.011285507350545,1.0080263010249,1.014,0.0077089933433347,0.0086094599623666,1.0112394840819
1.375,1.0083622414416662,1.0139074101050174,0.008042302250172264,0.008456556670628392,1.0117071380183327,1.0083294012788,1.014,0.0079913345996642,0.0084635966117035,1.0116671801544
1.385,1.008630404257746,1.0140553089459476,0.008291007245111743,0.008272949606658845,1.0120825659608446,1.0085904620142,1.014,0.0082315084599764,0.0082842569721523,1.0120359452691
1.395,1.0088645068110773,1.014147737903728,0.008506991422255668,0.008056692990142979,1.0124103095355081,1.0088153315565,1.014,0.0084365009849536,0.0080728826699858,1.0123539420314
1.405,1.0090636252058331,1.014184332203489,0.008689402390730643,0.007808640287147926,1.0126890752881663,1.0090206631816,1.014,0.0086259467042747,0.0078298201940533,1.0126445343907
1.415,1.009226973612678,1.0141649474242478,0.008837520257779743,0.00752977044836791,1.0129177630577493,1.0092094757504,1.014,0.0088043189983056,0.0075550477096628,1.0129119562513
1.425,1.009353907370077,1.0140896600688718,0.008950760469850345,0.007221184045653075,1.0130954703181079,1.0093560101634,1.0150000000000001,0.0089421577887422,0.0072485010176049,1.0131199465599
1.435,1.00944392552848,1.0139587672621577,0.00902867611955993,0.006884098928555236,1.013221495739872,1.0094372392474,1.014,0.0090091817156918,0.0069127287836436,1.0132360925754
1.445,1.0094966728273413,1.0137727855782137,0.009070959709435375,0.006519845418032028,1.0132953419582778,1.0094595619601,1.0130000000000001,0.0090215706734846,0.0065507638294823,1.0132689289023
1.455,1.0095119410971702,1.0135324490017799,0.009077444365464971,0.006129861056277887,1.0133167175360382,1.0094617675121,1.0130000000000001,0.0090090020803472,0.0061645607550015,1.0132735982341
1.465,1.0094896700810811,1.013238706031524,0.009048104495673932,0.005715684933401738,1.0132855381135135,1.0094426553732,1.0130000000000001,0.0089848146737283,0.0057544759445081,1.0132486229339
1.475,1.0094299476725999,1.0128927159367511,0.00898305589112421,0.005278951613341526,1.0132019267416397,1.0093923388613,1.014,0.0089313229107644,0.0053210481245492,1.0131793298497
1.485,1.009333009568788,1.0124958441822973,0.008882555268940082,0.004821384682987039,1.0130662133963033,1.0093084289397,1.012,0.0088468127233557,0.0048657915254029,1.0130624711382
1.495,1.0091992383400548,1.0120496570396644,0.008746999259162943,0.004344789949969942,1.0128789336760768,1.0091901821049,1.012,0.008729824335814,0.0043910319900685,1.0128971061777
1.505,1.0090291619203255,1.0115559154056604,0.008576922839433732,0.0038510483159660304,1.012640826688456,1.0090362137257,1.012,0.0085787460132575,0.0038977083654534,1.0126813056434
1.515,1.0088234515235286,1.011016567852946,0.008372997223680593,0.0033421083536356224,1.01235283213294,1.0088449015606,1.01,0.0083927394737849,0.0033885770751879,1.0124128198441
1.525,1.0085829189946198,1.010433742939907,0.008136027213144157,0.002819978616497484,1.0120160865924677,1.00861467016,1.014,0.0081698012670692,0.002865103194976,1.0120894568101
1.535,1.0083085136056018,1.009809740810208,0.007866948020194709,0.002286719712085712,1.0116319190478427,1.0083453443365,1.017,0.0079109531007161,0.0023254352945962,1.0117110410228
1.545,1.0080013183091814,1.0091470241151752,0.00756682157747622,0.0017444361696731863,1.011201845632854,1.0080424425485,1.009,0.0076157779470323,0.001776897912047,1.011285155831
