x_m,rho_g_published,rho_p_published,u_g_published,u_p_published,p_g_published,T_p_published,rho_g_GPU_GKS_GKP,rho_p_GPU_GKS_GKP,u_g_GPU_GKS_GKP,u_p_GPU_GKS_GKP,p_g_GPU_GKS_GKP,T_p_GPU_GKS_GKP
0.2825,0.9133510089964941,0.48892248823537504,0.11158842355246155,0.023522588153045698,1.0057428354902371,1.0588924244470497,0.91883600928178,0.48625000000001,0.1036623931415,0.033153763998446,0.98606352420487,1.0684772658616786
0.2875,0.9014178832917016,0.48625289839155517,0.12711928774989198,0.0280908687721229,0.9877813251152434,1.0534746998625815,0.90654959493668,0.48250000000000004,0.11970863926616,0.038501788072922,0.96787692112743,1.0666995564627304
0.2925,0.8892777108097015,0.4828090451700552,0.14286112868289197,0.033612203533422896,0.9698119660037434,1.0478678005875814,0.89392402545548,0.4785,0.13622461154466,0.043986127070114,0.94932579344381,1.0647904276688958
0.2975,0.8771339182230766,0.48065653505837075,0.1587541672442647,0.03882099878875358,0.9519279208855153,1.0425427807467214,0.88111518187909,0.47775,0.15309222708085,0.050973817866312,0.93062913971745,1.0627354251582486
0.3025,0.8649865646355765,0.47977428490337076,0.17479593490126477,0.043722357224003604,0.9341277968790151,1.0374950382267212,0.86823216124884,0.47524999999999995,0.1703224445883,0.054347650233748,0.91197385294935,1.0601668648523417
0.3075,0.852921439143344,0.4775613876433599,0.19093962811589577,0.04939033110897683,0.9164528818985286,1.032100402147522,0.85527299794812,0.4705,0.18759972478209,0.064312815692282,0.89335390818369,1.057971910503907
0.3125,0.840937199246844,0.47403956812935993,0.20718358279739577,0.055812404272876835,0.8989011317150286,1.026364536077522,0.84239620680781,0.47025,0.20497724034977,0.066429905453572,0.87499928360975,1.0548582950291188
0.3175,0.8289788172421785,0.4707039254354088,0.22348550462055933,0.06217940865207041,0.881529216064555,1.019313384192801,0.82965048319154,0.46625,0.22238554557485,0.074047470548803,0.85696686003835,1.052097985311766
0.3225,0.8170458709596784,0.4675514199399088,0.23984444718305933,0.06849224332877041,0.8643341988730551,1.0109684205478011,0.81695450853525,0.46125,0.2396821334743,0.081965237717559,0.83915301033028,1.0489658121373537
0.3275,0.8051392997267085,0.46379280546366997,0.2562072542215526,0.07537315599468082,0.8473417256943425,1.0029471636093175,0.80443768086947,0.46025,0.25700525391379,0.088596562471169,0.82172610844031,1.0457595936280502
0.3325,0.7932586729302085,0.45943797766366995,0.2725738626425526,0.08281287190698082,0.8305484896873425,0.9952443283698175,0.79204988139462,0.4555,0.2742480471625,0.096668552767641,0.80461826025872,1.0424061393783883
0.3375,0.7814302790745689,0.45638690476120314,0.28898104806286834,0.09062406058597507,0.8140467943048437,0.9890636420756813,0.77978010383329,0.45625,0.29138358937291,0.10066316756441,0.78781221816066,1.0385870543508708
0.3425,0.7696532653770689,0.45461830096170314,0.30542814800086837,0.09880065717007507,0.7978318796998437,0.9843802533151813,0.76769758584308,0.45075,0.30846779203916,0.11307359462781,0.77139705516552,1.0352998809212013
0.3475,0.7581291418602383,0.45147457448378153,0.3218641375699779,0.1063685987659009,0.7818090750226764,0.9785798036348926,0.75575895337275,0.44499999999999995,0.32542280509792,0.12062029385754,0.75530649695216,1.0314401517494662
0.3525,0.7468537797047382,0.4469781763102815,0.3382891981639779,0.1133378225979009,0.7659752437846764,0.9716805307643926,0.74397444422206,0.446,0.34222316007694,0.12645027535028,0.73955267975978,1.027478327717232
0.3575,0.735621858807258,0.4430775439605849,0.3546606391519013,0.12133982767206096,0.7504237466251991,0.9645562089904594,0.73241369875457,0.44175,0.35897361237961,0.1323955402145,0.72422682295748,1.0233598155804484
