x_m,rho_exact_kg_m3,rho_GPU_GKS_GKP_kg_m3,Ux_exact_m_s,Ux_GPU_GKS_GKP_m_s,p_exact_Pa,p_GPU_GKS_GKP_Pa
0.2125,1.0,0.9750554458484,0.0,9.4090451893543,100000.0,96533.056783069
0.2175,1.0,0.96997678412235,0.0,11.345587236341,100000.0,95832.550807555
0.2225,1.0,0.9643109986881,0.0,13.514908795615,100000.0,95053.043785108
0.2275,1.0,0.95806713563468,0.0,15.916675716334,100000.0,94196.379482449
0.2325,1.0,0.95126283346549,0.0,18.547568285719,100000.0,93265.613158567
0.2375,1.0,0.94392292647362,0.0,21.401728371691,100000.0,92264.800479496
0.2425,0.9849424570504387,0.93607791485566,5.668260304072798,24.471253274396,97898.31165026022,91198.769194353
0.2475,0.9693467763907126,0.92776243229305,11.612658788093977,27.74669338098,95735.02136113255,90072.892636239
0.2525,0.9539492792350306,0.91901381040803,17.55705727211511,31.21752111256,93612.83503019346,88892.879378871
0.2575,0.9387480707281131,0.90987080597658,23.501455756136288,34.872549589558,91531.09974993621,87664.588375706
0.2625,0.9237412681313133,0.90037252619937,29.445854240157416,38.700289313077,89489.1709361341,86393.874385976
0.2675,0.9089270007837494,0.89055756256672,35.39025272417855,42.689239100101,87486.41224800602,85086.464864478
0.2725,0.8943034100634425,0.88046332588132,41.33465120819973,46.828113255546,85522.19550889495,83747.866889892
0.2775,0.8798686493484492,0.87012556348122,47.27904969222086,51.106010653422,83595.90062745611,82383.301067953
0.2825,0.8656208839780044,0.85957803357461,53.223448176241945,55.512533385893,81706.91551935539,80997.658504487
0.2875,0.8515582912136489,0.84885230952759,59.16784666026312,60.037863347678,79854.63602947297,79595.476697001
0.2925,0.8376790602003683,0.83797768765043,65.11224514428426,64.672804959785,78038.46585461385,78180.930348271
0.2975,0.8239813919277305,0.82698117441386,71.05664362830538,69.40880154106,76257.81646672224,76757.833498731
0.3025,0.8104634991910187,0.81588753226235,77.00104211232656,74.237931867615,74512.10703659755,75329.649883407
0.3075,0.7971236065523698,0.8047193666891,82.9454405963477,79.152892400485,72800.76435811156,73899.508958042
