record_type,time_ms,experiment_surface_temperature_C,cold_wall_contact_layer_temperature_C,cold_wall_contact_layer_temperature_K,cold_enthalpy_equivalent_temperature_C,cold_enthalpy_equivalent_temperature_K,cold_axial_node_mean_temperature_C,cold_axial_node_mean_temperature_K,cold_free_surface_temperature_C,cold_free_surface_temperature_K,cold_profile_active,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2,cold_solidification_contact_age_s
coldWall,4.2490000000000006,,1183.1063825608799,1456.2563825608797,2049.9485758665023,2323.0985758665024,1849.9687882037224,2123.1187882037225,2095.7551379697156,2368.9051379697157,1,3,0.0002656651777215302,0.0002656651777215302,0.004248949699103832
coldWall,4.2989999999999995,,1182.6231736056561,1455.773173605656,2049.8819702408614,2323.0319702408615,1849.6163880437734,2122.7663880437735,2095.6472896614264,2368.7972896614265,1,3,0.0002656651777215302,0.0002656651777215302,0.004298938438296318
coldWall,4.349,,1182.2437549096621,1455.3937549096622,2049.815745316248,2322.965745316248,1849.2972018025453,2122.4472018025454,2095.5382796719255,2368.6882796719256,1,3,0.0002656651777215302,0.0002656651777215302,0.004348927177488804
coldWall,4.399,,1181.9637077769048,1455.113707776905,2049.749870321922,2322.899870321922,1849.00910167958,2122.15910167958,2095.422134822909,2368.572134822909,1,3,0.0002656651777215302,0.0002656651777215302,0.00439891591668129
coldWall,4.449,,1181.778809897879,1454.928809897879,2049.6843402698537,2322.834340269854,1848.7508720883216,2121.9008720883216,2095.305989701044,2368.455989701044,1,3,0.0002656651777215302,0.0002656651777215302,0.0044489046558737755
coldWall,4.4990000000000006,,1181.6852317360567,1454.8352317360566,2049.6191459616875,2322.7691459616876,1848.5213517945363,2121.6713517945363,2095.18984430724,2368.33984430724,1,3,0.0002656651777215302,0.0002656651777215302,0.004498893395066261
coldWall,4.549,,1181.679241948154,1454.829241948154,2049.5542984569624,2322.7042984569625,1848.3199808266068,2121.469980826607,2095.0736986414972,2368.2236986414973,1,3,0.0002656651777215302,0.0002656651777215302,0.004548882134258747
coldWall,4.599,,1181.7570109976432,1454.9070109976433,2049.489755670063,2322.639755670063,1848.1443007645944,2121.2943007645945,2094.957552702906,2368.107552702906,1,3,0.0002656651777215302,0.0002656651777215302,0.004598870873451233
coldWall,4.649,,1181.914709347997,1455.0647093479968,2049.4255149791793,2322.5755149791794,1845.6518766710042,2118.8018766710043,2094.835931021405,2367.985931021405,1,3,0.0002656651777215302,0.0002656651777215302,0.004648859612643719
coldWall,4.699,,1182.1436959937155,1455.2936959937156,2049.361566928233,2322.511566928233,1842.7806212871433,2115.9306212871434,2094.71148833745,2367.8614883374503,1,3,0.0002656651777215302,0.0002656651777215302,0.0046988483518362045
coldWall,4.749,,1182.427965435978,1455.577965435978,2049.297904175109,2322.447904175109,1840.1687266627828,2113.318726662783,2094.587045340629,2367.7370453406293,1,3,0.0002656651777215302,0.0002656651777215302,0.00474883709102869
coldWall,4.799,,1182.7479772191673,1455.8979772191674,2049.234529116164,2322.3845291161642,1837.6754962125265,2110.8254962125266,2094.4626020318515,2367.6126020318516,1,3,0.0002656651777215302,0.0002656651777215302,0.004798825830221176
coldWall,4.849,,1183.0841908876669,1456.234190887667,2049.1714480936075,2322.3214480936076,1835.2905938023791,2108.440593802379,2094.3381584102076,2367.4881584102077,1,3,0.0002656651777215302,0.0002656651777215302,0.004848814569413662
coldWall,4.899000000000001,,1183.4156912804401,1456.56569128044,2049.1086329849722,2322.2586329849723,1833.0039049296693,2106.1539049296694,2094.2113915198183,2367.3613915198184,1,3,0.0002656651777215302,0.0002656651777215302,0.004898803308606148
coldWall,4.949,,1183.7267674783975,1456.8767674783976,2049.046050662298,2322.196050662298,1830.8066604512255,2103.9566604512256,2094.078650972731,2367.228650972731,1,3,0.0002656651777215302,0.0002656651777215302,0.004948792047798634
coldWall,4.999,,1184.0028868813824,1457.1528868813825,2048.9837403466368,2322.133740346637,1828.6941199949997,2101.844119995,2093.945910070031,2367.095910070031,1,1,0.0002656651777215302,0.0002656651777215302,0.004998780786991119
coldWall,5.049,,1184.232462686567,1457.3824626865671,2048.92169389764,2322.07169389764,1826.6605215373447,2099.810521537345,2093.8131688117187,2366.963168811719,1,1,0.0002656651777215302,0.0002656651777215302,0.005048769526183605
coldWall,5.099,,1184.4068538884526,1457.5568538884525,2048.8599263238125,2322.0099263238126,1824.7016415646062,2097.8516415646063,2093.680427197794,2366.830427197794,1,1,0.0002656651777215302,0.0002656651777215302,0.005098758265376091
coldWall,5.149,,1184.5194815396699,1457.66948153967,2048.798420532689,2321.948420532689,1822.8128750190044,2095.9628750190045,2093.547353373649,2366.697353373649,1,1,0.0002656651777215302,0.0002656651777215302,0.005148747004568577
coldWall,5.199000000000001,,1184.5665161036923,1457.7165161036921,2048.737151798853,2321.887151798853,1820.989652221279,2094.139652221279,2093.4063146405583,2366.5563146405584,1,1,0.0002656651777215302,0.0002656651777215302,0.005198735743761063
