time_s,count,median,mean,p25,p75,normal_speed_median_m_s
1.82999997029696,863,0.11520681790688675,0.57058674793798858,0.035665433122174836,0.32742483348692974,0.12242744176070385
1.8400000071902864,800,0.11242113637319193,0.41440044129220233,0.033963170903007905,0.33848936142461294,0.11508498266446165
1.8499999910801757,864,0.1646832451553473,0.66273388256036569,0.056393341751665493,0.43838556765088643,0.16525552291488799
1.8600000277826365,848,0.17807494313810174,1.1938555030303863,0.059399291742046924,0.47555996918197391,0.16394033257236151
1.8699999862961931,852,0.1758394797238543,0.65526744934907688,0.057921767605952135,0.44040224276901296,0.16384732995546653
1.8799999654623909,841,0.20650524045844612,0.66494955847107484,0.066902540717756587,0.5258075324393503,0.18890472394298577
1.8900000172808737,820,0.21790615325446838,0.86665693660197063,0.070730923186803463,0.57317770021921222,0.19601454868380053
1.899999977555995,854,0.23129423289664802,0.77408630602003403,0.073781360604902646,0.54359366737002657,0.21004114000309332
1.9099999926702389,780,0.20164413360629327,0.75434871251644975,0.062499723312579712,0.53116146840048772,0.19259156009781903
1.919999980628496,846,0.21580285376108665,0.73093866807105223,0.074437857351359341,0.60281766935189651,0.2140437140853971
1.9299999872142815,746,0.23963670626946015,0.85130051389002825,0.071356719109788899,0.60453769707382443,0.19261069260907282
1.9399999946234745,743,0.20458784204832603,0.67775822952903109,0.065658136391471611,0.50743277213703264,0.17373673520397098
1.9500000228004508,783,0.18193794988971881,0.75489753955431071,0.062858300435670852,0.55664897626378707,0.17290344603468755
1.9599999926227714,880,0.19969204419351103,1.0043505686478902,0.062670628749858737,0.57776970283891704,0.1852098788708206
1.9700000327608738,832,0.22750191679426529,0.86711977382710004,0.075553901668609452,0.62526259435973608,0.21363837041817385
1.9800000264874242,850,0.23011769003589833,0.70283377420327364,0.077548578197011428,0.58032914743061004,0.20661636154424962
1.9899999873899867,770,0.19710170958793466,0.98709719476718172,0.055029035311534219,0.54630587737317016,0.17886955937019694
1.9999999817259324,767,0.22157636057652455,0.78730013581307001,0.07231559961393666,0.58802287802234665,0.19265266487472965
