time_s,total_W_m2,radiation_W_m2,reflected_W_m2,deposited_W_m2,convection_W_m2
1.82999997029696,2053319.3371215414,387498.75805273664,78527.032732184525,987954.85937885777,599338.68695776234
1.8400000071902864,2085096.53515882,387498.75805273664,114143.70256481417,982045.8798387663,601408.19470250281
1.8499999910801757,2155180.2519012168,387498.75805273664,99216.546512908826,1062549.4626580027,605915.48467756866
1.8600000277826365,2116775.1060396987,387498.75805273664,87944.723320760037,1031833.8908810443,609497.73378515767
1.8699999862961931,2102419.3095527166,387498.75805273664,93274.803545197516,1008730.655948473,612915.09200630942
1.8799999654623909,2083204.745654101,387498.75805273664,83096.329974441964,999634.62101010978,612975.03661681281
1.8900000172808737,2065913.8180589508,387498.75805273664,84573.983252401871,980262.78692271665,613578.28983109572
1.899999977555995,2121207.9305281094,387498.75805273664,80405.710898361518,1038513.4169317327,614790.04464527883
1.9099999926702389,2138885.2665085131,410229.94560368155,83664.362678931531,1029097.3140090849,615893.64421681501
1.919999980628496,2109713.6016938551,410229.94560368155,91436.826692870949,999287.23636297556,608759.59303432691
1.9299999872142815,2093998.5305991315,410229.94560368155,105445.46714102376,974033.73042530078,604289.38742912537
1.9399999946234745,2202968.1113975695,410229.94560368155,114676.82456636376,1070106.8418875311,607954.49933999323
1.9500000228004508,2307915.8723822474,410229.94560368155,115851.56199941381,1168228.9661922732,613605.39858687867
1.9599999926227714,2350797.2025019233,410229.94560368155,114871.97725318689,1208693.6943457492,617001.58529930562
1.9700000327608738,2420431.1820207476,410229.94560368155,130250.45701913571,1260812.4795952195,619138.29980271065
1.9800000264874242,2275073.1919220523,410229.94560368155,86394.685094056797,1158501.4221124488,619947.13911186508
1.9899999873899867,2302238.1007525455,410229.94560368155,134424.64604708386,1137368.5058937483,620215.00320803176
1.9999999817259324,2263320.1035771417,410229.94560368155,103163.75711544881,1129506.5986551929,620419.80220281857
2.0099999974587921,2291240.9534944692,392427.16573125386,106781.51360743966,1170590.1755457448,621442.09861003095
2.0200000316052424,2341230.8297943147,392427.16573125386,110230.77850145563,1225240.9363973846,613331.94916422083
2.0299999646939595,2239970.8529441352,392427.16573125386,96616.365242417305,1143987.2227298301,606940.09924063401
2.0399999828460311,2197075.2844716012,392427.16573125386,108806.60035944708,1087365.822366016,608475.69601488428
2.05000002708669,2184435.9809513432,392427.16573125386,73355.178769999722,1104919.8846667858,613733.75178330392
2.060000014315154,2256980.7385272621,392427.16573125386,90256.348494349673,1156894.2153243981,617403.00897726044
2.0699999756942535,2246647.308434512,392427.16573125386,123414.31244619659,1110760.4821029566,620045.34815410478
2.0800000231170301,2140197.1598171177,392427.16573125386,96396.666988386598,1030919.8054206257,620453.52167685144
2.0899999659549238,2111563.514652485,392427.16573125386,86493.371038077545,1012555.2498842278,620087.72799892572
2.1000000328958599,2192146.7386318007,392427.16573125386,82166.70436344303,1097035.5679474988,620517.30058960547
2.1099999890066172,2201072.6401763996,390123.11866987875,115806.51028120879,1074386.0655572342,620756.94566807768
2.1200000264682473,2206070.4676739164,390123.11866987875,119502.8321241075,1083369.3928811306,613075.12399879971
2.1299999797903428,2090645.1019876231,390123.11866987875,113236.75969656893,979515.75398695015,607769.46963422524
2.1400000264965238,2093186.9210440903,390123.11866987875,94504.363371737199,997955.7011032186,610603.73789925559
2.1499999812208177,2131855.1821305156,390123.11866987875,102216.97287948117,1023912.346670775,615602.74391038052
2.1599999774369305,2106287.6968580978,390123.11866987875,123151.54400221897,974171.81085684965,618841.22332915012
2.1700000227943663,2063335.1887285239,390123.11866987875,105758.03249007097,945499.9169002506,621954.12066832359
2.1800000078122013,2084827.8916052161,390123.11866987875,92744.697727530598,979502.35507632443,622457.72013148223
2.1900000151907548,2113493.4912024941,390123.11866987875,103985.78924263989,996724.89609441115,622659.68719556462
2.1999999809721302,2149822.7382161957,390123.11866987875,119634.39537487345,1016843.4298324938,623221.79433894984
2.2100000228093526,2183080.9773686328,421893.6721598648,94006.859332934779,1043769.2457252728,623411.20015056024
2.2200000340063322,2115761.5538418032,421893.6721598648,82684.290253840853,995138.45471037691,616045.13671772054
2.2299999804780186,2113197.7097150404,421893.6721598648,96155.720154017632,985002.62238832132,610145.69501283683
2.2399999966434834,2180614.9830016051,421893.6721598648,121016.59259479219,1025435.0127054414,612269.70554150688
2.2499999699816686,2185665.3210539054,421893.6721598648,127463.02564318926,1020272.9872665106,616035.63598434045
2.2599999809040359,2222399.1603646912,421893.6721598648,145095.46650728874,1035104.4324868574,620305.5892106801
2.2700000291576248,2463217.7373761246,421893.6721598648,92088.270099818998,1329519.0840595618,619716.71105687902
2.2800000202047879,2256646.0087410095,421893.6721598648,67825.996659497876,1145376.2289874805,621550.11093416612
2.2899999732190857,2242182.2634072369,421893.6721598648,108053.25062803962,1091853.7201368597,620381.62048247247
2.3000000072069025,2246958.5525662638,421893.6721598648,130967.53599638394,1073434.8551432362,620662.48926677892
2.3100000291100744,2219441.62646484,420860.06883776915,83603.932768707135,1092555.1846340508,622422.44022431294
2.3200000137908336,2175380.4444701727,420860.06883776915,83373.087930468711,1055407.4005237813,615739.88717815338
2.3299999793017312,2158821.0965703856,420860.06883776915,98869.910076855129,1029004.3666367691,610086.75101899228
2.3400000086299042,2216725.7984930207,420860.06883776915,89961.036809332858,1094140.1821561963,611764.51068972249
2.3499999897467374,2186879.4011563235,420860.06883776915,110952.5357410078,1037748.4353775881,617318.36119995813
2.3600000281769162,2167665.4029389885,420860.06883776915,103429.10964157614,1023124.4977349842,620251.72672465921
2.3699999667208242,2146798.9309966764,420860.06883776915,111811.93585438597,990923.81249133684,623203.11381318432
2.3799999826463303,2185688.0401497465,420860.06883776915,126084.66095204231,1014333.9319975897,624409.37836234528
2.3900000136255266,2195604.1102711046,420860.06883776915,153484.31532163205,996641.08766749583,624618.63844420738
2.39999997262262,2194951.2536725006,420860.06883776915,110384.16394807945,1037893.352041106,625813.66884554597
2.3999999844136446,2194950.9611973925,420860.06883776915,110384.0379445399,1037893.3814578608,625813.47295722272
2.4099999692871736,2096444.2740157067,422663.32347327261,97985.886884337233,1053049.3112696437,522745.75238845317
2.4200000358227265,2097159.2709614802,422663.32347327261,134789.5333265042,1024809.1525042073,514897.2616574961
2.4300000352741398,2056359.0928690739,422663.32347327261,142816.34435871962,985641.2124528751,505238.21258420666
2.4400000090353351,1992967.7485516272,422663.32347327261,111195.56393866964,953968.6892704994,505140.17186918552
2.4499999643790789,1982074.6315699082,422663.32347327261,117210.74196651056,934690.70622465201,507509.85990547319
2.4600000109870366,2013763.8506438418,422663.32347327261,122920.08158954066,958578.17767828854,509602.26790273999
2.4700000023285829,2046535.8083615981,422663.32347327261,151651.95484261154,961271.66453664354,510948.86550907028
2.479999982114697,2021924.031569886,422663.32347327261,117097.85757812011,969066.5170610752,513096.33345741831
2.4899999717471624,1968982.3107025945,422663.32347327261,111029.33457368301,919207.34927727282,516082.30337836588
2.4999999740006698,2019576.8866636655,422663.32347327261,133938.58381784646,944192.70184723719,518782.27752530924
2.5100000120592214,2049071.7849130831,410690.39679921127,164869.80918580969,957874.42282112013,515637.15610694175
2.5199999986613379,1958196.5305314413,410690.39679921127,95254.549396000453,939551.81652097416,512699.7678152555
2.5300000351718848,1963852.6214270075,410690.39679921127,120540.33560707972,926899.21419058286,505722.67483013368
2.5400000162927765,2060199.8092358583,410690.39679921127,152971.85257622774,994090.97460955544,502446.58525086369
2.5499999737688341,2077497.0987307203,410690.39679921127,154385.50148540133,1009560.0831665059,502861.11727960204
2.5600000134695859,2042003.968877479,410690.39679921127,124027.44348351733,999195.54883503285,508090.57975971734
2.5699999648535052,2032448.7059630372,410690.39679921127,144197.52742067529,965317.65216042916,512243.12958272151
2.5800000227479241,2018511.4996241264,410690.39679921127,129734.553893826,964275.99457127554,513810.55435981351
2.5899999863358398,2074912.7924875724,410690.39679921127,137725.56546792219,1012270.0462758683,514226.78394457075
2.600000022745482,2043572.1810521574,410690.39679921127,121896.64442454955,995339.68433780328,515645.45549059333
