record_type,time_s,TC1_temperature_K,TC1_depth_mm,TC2_temperature_K,TC2_depth_mm
coldWall,1.919999980628496,443.795890716,5,354.885843116,10
coldWall,1.9299999872142815,445.111454967,5,355.297098467,10
coldWall,1.9399999946234745,446.44055495,5,355.711841576,10
coldWall,1.9500000228004508,447.781862732,5,356.130075212,10
coldWall,1.9599999926227714,449.134685576,5,356.551795017,10
coldWall,1.9700000327608738,450.496961994,5,356.976988964,10
coldWall,1.9800000264874242,451.8670188,5,357.40569934,10
coldWall,1.9899999873899867,453.243519275,5,357.837977073,10
coldWall,1.9999999817259324,454.623844487,5,358.273834238,10
coldWall,2.0099999974587921,456.01237612,5,358.713264693,10
coldWall,2.0200000316052424,457.413162222,5,359.156245476,10
coldWall,2.0299999646939595,458.829588544,5,359.602758474,10
coldWall,2.0399999828460311,460.261036354,5,360.053007307,10
coldWall,2.05000002708669,461.705330745,5,360.507007911,10
coldWall,2.060000014315154,463.159643375,5,360.964721871,10
coldWall,2.0699999756942535,464.62059908,5,361.426129195,10
coldWall,2.0800000231170301,466.084604501,5,361.891210002,10
coldWall,2.0899999659549238,467.548126019,5,362.359940537,10
coldWall,2.1000000328958599,469.009146266,5,362.83228114,10
coldWall,2.1099999890066172,470.473044408,5,363.308198947,10
coldWall,2.1200000264682473,471.943804426,5,363.787660425,10
coldWall,2.1299999797903428,473.423321599,5,364.270627967,10
coldWall,2.1400000264965238,474.911404683,5,364.757058206,10
coldWall,2.1499999812208177,476.406697435,5,365.246909421,10
coldWall,2.1599999774369305,477.906008486,5,365.740137916,10
coldWall,2.1700000227943663,479.406567381,5,366.236698903,10
coldWall,2.1800000078122013,480.904508974,5,366.736546845,10
coldWall,2.1900000151907548,482.396227812,5,367.239631125,10
coldWall,2.1999999809721302,483.878003476,5,367.74589711,10
coldWall,2.2100000228093526,485.355436035,5,368.255313768,10
coldWall,2.2200000340063322,486.834180903,5,368.768076608,10
coldWall,2.2299999804780186,488.317559387,5,369.284212274,10
coldWall,2.2399999966434834,489.806444129,5,369.803729451,10
coldWall,2.2499999699816686,491.30031501,5,370.326506555,10
coldWall,2.2599999809040359,492.796120562,5,370.852454648,10
coldWall,2.2700000291576248,494.291131217,5,371.381472321,10
coldWall,2.2800000202047879,495.782988008,5,371.913465808,10
coldWall,2.2899999732190857,497.26937361,5,372.448398856,10
coldWall,2.3000000072069025,498.747548055,5,372.986308086,10
coldWall,2.3100000291100744,500.224527397,5,373.527247399,10
coldWall,2.3200000137908336,501.706680617,5,374.071223119,10
coldWall,2.3299999793017312,503.196706742,5,374.618211684,10
coldWall,2.3400000086299042,504.694702743,5,375.168173534,10
coldWall,2.3499999897467374,506.198795657,5,375.721056147,10
coldWall,2.3600000281769162,507.705910366,5,376.276804536,10
coldWall,2.3699999667208242,509.211489878,5,376.835364933,10
coldWall,2.3799999826463303,510.711828517,5,377.396686038,10
coldWall,2.3900000136255266,512.204444425,5,377.960721558,10
coldWall,2.3999999844136446,513.687185027,5,378.527424873,10
coldWall,2.4099999692871736,515.165799998,5,379.096745153,10
coldWall,2.4200000358227265,516.645960598,5,379.668629694,10
coldWall,2.4300000352741398,518.130167298,5,380.243029213,10
coldWall,2.4400000090353351,519.617929217,5,380.819893342,10
coldWall,2.4499999643790789,521.106751475,5,381.399176186,10
coldWall,2.4600000109870366,522.592876576,5,381.98094885,10
coldWall,2.4700000023285829,524.07139976,5,382.565293289,10
coldWall,2.479999982114697,525.53909361,5,383.152131987,10
coldWall,2.4899999717471624,526.992397543,5,383.741557857,10
coldWall,2.4999999740006698,528.428392081,5,384.333549761,10
coldWall,2.5100000120592214,529.852833115,5,384.927979575,10
coldWall,2.5199999986613379,531.270581406,5,385.524631242,10
coldWall,2.5300000351718848,532.683980114,5,386.123614101,10
coldWall,2.5400000162927765,534.093357922,5,386.725109917,10
coldWall,2.5499999737688341,535.498477594,5,387.329070837,10
coldWall,2.5600000134695859,536.897423392,5,387.935436804,10
coldWall,2.5699999648535052,538.287747906,5,388.544163135,10
coldWall,2.5800000227479241,539.666826071,5,389.155546863,10
coldWall,2.5899999863358398,541.032306394,5,389.769513454,10
coldWall,2.600000022745482,542.382259039,5,390.385970591,10
