time_s,deposited_heat_flux_density_W_m2,reflected_heat_flux_density_W_m2,total_heat_flux_density_W_m2,deposited_particle_count,total_heat_transfer_area_m2,area_scale_coefficient
2.8900000384520963,203492.018493,905863.04527,1109355.063763,278,3.9234797100107244e-07,1.4113236366945051e-09
2.8999999668820857,218732.459778,759310.260098,978042.7198760001,256,3.4648689961613854e-07,1.3534644516255412e-09
2.9099999871261022,198099.192547,645750.649448,843849.841995,248,3.3484087680335506e-07,1.3501648258199801e-09
2.9199999509581764,162856.453085,570727.900993,733584.354078,248,3.2062251875686343e-07,1.2928327369228364e-09
2.9300000349977302,149905.075022,604838.892527,754743.967549,264,3.9111682781367563e-07,1.4815031356578622e-09
2.9399999892185829,131929.351256,532597.778233,664527.129489,227,3.5659184050018666e-07,1.5708891651990602e-09
2.9500000440842862,129081.136698,623265.565178,752346.701876,229,3.65202822649735e-07,1.5947721513088865e-09
2.9600000302468881,146916.96047,660818.305957,807735.266427,227,3.6121991797699593e-07,1.5912771717048278e-09
2.9700000232827155,161251.12612,917686.326897,1078937.4530169999,238,3.772143486457935e-07,1.5849342380075358e-09
2.9799999899379181,161796.350519,820198.054476,981994.404995,236,3.5291037647766643e-07,1.4953829511765527e-09
2.9900000165148839,165716.347184,724921.49025,890637.8374340001,231,2.6545177433945355e-07,1.1491418802573747e-09
2.9999999530021531,160557.443924,630733.052243,791290.496167,216,3.1040488579492376e-07,1.4370596564579803e-09
3.0100000032064265,166589.255174,896075.890544,1062665.145718,217,3.197879152594396e-07,1.4736770288453438e-09
3.0200000610340747,191218.504835,966056.015647,1157274.520482,244,3.785730768868234e-07,1.5515290036345222e-09
3.0300000192425824,201285.721482,746838.143313,948123.864795,215,3.556841079443984e-07,1.654344688113481e-09
3.0399999451326214,190713.070439,772113.900035,962826.9704740001,211,3.80585333914496e-07,1.8037219616800759e-09
3.049999937215369,177870.704421,789895.368498,967766.0729189999,261,5.42115685675526e-07,2.0770715926265367e-09
3.0600000488578165,162074.919939,757448.547956,919523.467895,231,4.5335798404266825e-07,1.9625886755093864e-09
3.0700000516627495,149127.588892,666016.336867,815143.925759,223,3.677457414141827e-07,1.649084042216066e-09
3.0799999391874788,158945.290758,883303.494812,1042248.78557,242,3.535004111654416e-07,1.460745500683643e-09
3.090000050760207,194956.249134,952243.631865,1147199.880999,245,4.285248564883659e-07,1.7490810468912895e-09
3.0999999587636946,184744.908377,795491.21785,980236.126227,246,4.0564756886851683e-07,1.6489738571890928e-09
3.1099999771328282,164843.519951,770991.76395,935835.283901,237,3.59898365331901e-07,1.518558503510131e-09
3.1199999406865335,171884.557584,874839.645188,1046724.2027720001,245,4.0006000290304655e-07,1.632897971032843e-09
3.129999966018095,174771.296381,792288.69283,967059.9892109999,236,4.714324290944205e-07,1.9975950385356803e-09
3.1400000325874204,179346.557605,876497.510026,1055844.067631,235,3.71720801695119e-07,1.5817906455111447e-09
3.1500000041792817,189654.646366,793294.738114,982949.38448,244,4.3355629486541147e-07,1.7768700609238176e-09
3.160000013579352,186157.360629,854963.836195,1041121.196824,258,4.4973683088755934e-07,1.7431660111920904e-09
3.17000003965487,207716.213743,761670.150191,969386.363934,248,3.669616148727073e-07,1.4796839309383358e-09
3.1800000208561578,171693.279075,702810.918072,874504.197147,253,2.991159817611333e-07,1.182276607751515e-09
3.189999960205284,150742.718089,810056.0663,960798.7843889999,224,3.206054088877863e-07,1.4312741468204747e-09
3.2000000303431357,134265.535046,696195.732181,830461.2672270001,230,3.401293611204892e-07,1.4788233092195182e-09
3.2100000511689228,143027.968934,829786.535175,972814.504109,255,3.930221055270522e-07,1.5412631589296164e-09
3.2199999687522909,184286.41747,706159.792972,890446.210442,260,4.24166159973538e-07,1.6314083075905308e-09
3.2300000311785686,177333.02581,674000.580438,851333.606248,201,2.1139129557923297e-07,1.051697987956383e-09
3.2400000000962401,166809.989631,844253.581743,1011063.5713739999,211,3.762750395708281e-07,1.7832940264020287e-09
3.2500000207967155,156733.472407,836956.255235,993689.7276420001,219,2.990065013364074e-07,1.3653264901205816e-09
