r_m,cpu_pressure_pa,cpu_mach,tadmor_pressure_pa,tadmor_mach,kurganov_pressure_pa,kurganov_mach,hlle_pressure_pa,hlle_mach,hllc_pressure_pa,hllc_mach,roe_pressure_pa,roe_mach,hllem_pressure_pa,hllem_mach,hllc_adc_pressure_pa,hllc_adc_mach,slau2_pressure_pa,slau2_mach,slau2_2_pressure_pa,slau2_2_mach
0.0143696945607,88380.9721894,3.02574973089855,89633.710674092,2.94888735636679,86313.781815248,3.01273431495623,86307.131971931,3.01305151644804,86543.754701851,3.00702983302897,86222.790698881,3.01428121481694,86165.217058772,3.02287420678963,86580.868759879,3.00696184906455,87512.621905862,2.98823812110147,87704.427474748,2.98441087319508
0.0145241966527,88387.3413486,3.02578309108474,89641.107677121,2.94876978733197,86319.466389599,3.01266875406767,86312.750673797,3.01298536254804,86552.80301883,3.00702768676119,86205.473551134,3.01482042925647,86172.262507374,3.02271837987566,86587.178734122,3.00702693886884,87591.100314786,2.98711184376399,87781.578258102,2.98371921157737
0.0146786987448,88393.7105078,3.02581663133534,89648.504680151,2.94865279703959,86325.15096395,3.01260377348588,86318.369375663,3.01291978906416,86561.85133581,3.00702614015659,86188.156403387,3.0153603212718,86179.307955976,3.02256315059431,86593.488708365,3.00709261078526,87669.57872371,2.98598766287464,87858.729041456,2.9830291944257
0.0148332008368,88381.1370392,3.02583916746972,89648.291041068,2.94863716042654,86328.127479197,3.01251596697341,86321.378446177,3.01283193905552,86567.621606272,3.00693700852837,86192.912592443,3.01547520456371,86185.227708726,3.02243014121828,86599.852666013,3.00699648368172,87743.488887054,2.98487847784886,87938.060937529,2.98221140480421
0.0149877029289,88364.0312214,3.02585922218115,89646.256425087,2.94864620697276,86330.456044771,3.01242314075722,86323.763117548,3.01273920079931,86572.607547779,3.00682736826162,86202.950206612,3.01548886464357,86190.8781194,3.02230288642678,86606.229540118,3.00686210259911,87816.306019147,2.98377432942176,88017.914702297,2.98136449623767
0.0151422050209,88346.9254035,3.02587947300578,89644.221809106,2.94865582379817,86332.784610345,3.0123308952671,86326.14778892,3.01264704328818,86577.593489286,3.00671831806253,86212.987820781,3.01550314908167,86196.528530075,3.02217621093685,86612.606414224,3.00672832170144,87889.12315124,2.98267211203004,88097.768467065,2.98051945191558
0.015296707113,88329.8195857,3.02589991996891,89642.187193125,2.94866601098517,86335.113175919,3.01223923055139,86328.532460291,3.012555466571,86582.579430793,3.0066098578557,86223.02543495,3.01551805776726,86202.178940749,3.02205011474293,86618.983288329,3.00659514092048,87961.940283333,2.98157182239792,88177.622231834,2.97967626835183
0.015451209205,88312.7137678,3.02592056305631,89640.152577144,2.94867676861615,86337.441741493,3.01214814665835,86330.917131663,3.01246447069635,86587.5653723,3.00650198756564,86233.063049119,3.01553359058889,86207.829351424,3.02192459783907,86625.360162434,3.00646256018725,88034.757415426,2.98047345725897,88257.475996602,2.97883494207129
0.0156057112971,88295.60795,3.0259414022932,89638.117961163,2.94868809677281,86339.770307067,3.01205764363565,86333.301803034,3.01237405571216,86592.551313807,3.00639470711629,86243.100663287,3.01554974743526,86213.479762098,3.02179966021906,86631.737036539,3.00633057943246,88107.574547519,2.97937701335569,88337.32976137,2.97799546960966
0.0157602133891,88278.5021321,3.02596243767152,89636.083345182,2.94869999553686,86342.098872642,3.01196772153065,86335.686474405,3.01228422166642,86597.537255314,3.00628801643122,86253.138277456,3.01556652819424,86219.130172773,3.02167530187635,86638.113910645,3.00619919858662,88180.391679611,2.97828248744031,88417.183526139,2.97715784751351
