record_type,time_ms,experiment_beta,cold_beta,cold_wall_state,cold_contact_area_m2,cold_frozen_area_m2
coldWall,1.449,,4.632483621498994,3,0.0004213642395924829,0.0
coldWall,1.4989999999999999,,4.624768445717753,3,0.0004199618851171375,0.0
coldWall,1.549,,4.615817341564901,3,0.00041833781040634665,0.0
coldWall,1.599,,4.60563270114368,3,0.0004164937514224031,0.0
coldWall,1.6489999999999998,,4.59421724620896,3,0.0004144316792672766,0.0
coldWall,1.699,,4.581574027439886,3,0.00041215379807571647,0.0
coldWall,1.7489999999999999,,4.567706423624597,3,0.0004096625426592677,0.0
coldWall,1.799,,4.5526181407572865,3,0.00040696057590371707,0.0
coldWall,1.849,,4.536313211047804,3,0.0004040507859227531,0.0
coldWall,1.8989999999999998,,4.518795991844079,3,0.00040093628297088095,0.0
coldWall,1.949,,4.500071164467668,3,0.00039762039611889344,0.0
coldWall,1.9989999999999999,,4.480143732962699,3,0.0003941066696954484,0.0
coldWall,2.0489999999999995,,4.459019022758603,3,0.000390398859498563,0.0
coldWall,2.099,,4.436702679246924,3,0.00038650092878106504,0.0
coldWall,2.149,,4.413200666272645,3,0.0003824170440142992,0.0002656651777215302
coldWall,2.1989999999999994,,4.388519264540407,3,0.00037815157043461563,0.0002656651777215302
coldWall,2.249,,4.3626650699360345,3,0.00037370906737739745,0.0002656651777215302
coldWall,2.299,,4.335644991763859,3,0.0003690942834036197,0.0002656651777215302
coldWall,2.3489999999999993,,4.307466250900255,3,0.0003643121512241445,0.0002656651777215302
coldWall,2.399,,4.278136377863933,3,0.0003593677824271805,0.0002656651777215302
coldWall,2.449,,4.247663210803471,3,0.00035426646201454126,0.0002656651777215302
coldWall,2.4990000000000006,,4.216054893402642,3,0.00034901364275254353,0.0002656651777215302
coldWall,2.549,,4.183319872704087,3,0.0003436149393435824,0.0002656651777215302
coldWall,2.5989999999999998,,4.149466896851909,3,0.0003380761224246145,0.0002656651777215302
coldWall,2.6490000000000005,,4.114505012753823,3,0.00033240311239896437,0.0002656651777215302
coldWall,2.699,,4.07844356366344,3,0.00032660197310804536,0.0002656651777215302
