temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
bottomLayer,2.4999999740006698,1521,2832.32912648,2863.28019574,2788.06121792,2937.84287645
topLayer,2.4999999740006698,1521,3000.71594257,3014.14836667,2978.20173908,3046.35866524
enthalpyMean,2.4999999740006698,1521,2926.40588871,2961.84896906,2877.79261888,3047.48053439
bottomLayer,2.5100000120592214,1521,2827.04557385,2857.43513762,2785.42375281,2930.69428566
topLayer,2.5100000120592214,1521,2966.98183297,2980.85586223,2946.48918291,3012.2938983
enthalpyMean,2.5100000120592214,1521,2914.82974893,2950.15122301,2870.81942073,3030.74843345
bottomLayer,2.5199999986613379,1522,2818.12901162,2846.4989201,2779.75544661,2911.56478928
topLayer,2.5199999986613379,1522,2941.11711424,2952.821372,2919.7831564,2977.60987402
enthalpyMean,2.5199999986613379,1522,2902.91393182,2935.93851155,2861.33220265,3006.59985589
bottomLayer,2.5300000351718848,1545,2811.63492833,2841.61046364,2770.09902125,2906.45143596
topLayer,2.5300000351718848,1545,2953.02910006,2962.88916666,2928.85218045,2981.59151074
enthalpyMean,2.5300000351718848,1545,2896.5442851,2934.26949187,2859.49132326,3004.10845308
bottomLayer,2.5400000162927765,1551,2811.34187551,2841.66186341,2768.26663075,2912.0051299
topLayer,2.5400000162927765,1551,2963.12905248,2976.96557789,2943.07046652,2993.25777315
enthalpyMean,2.5400000162927765,1551,2898.39677183,2937.97225111,2860.7759208,3013.89741241
bottomLayer,2.5499999737688341,1562,2811.81500201,2844.67903121,2768.56693141,2920.15499661
topLayer,2.5499999737688341,1562,2971.91541905,2987.10235989,2951.40535217,3005.86351381
enthalpyMean,2.5499999737688341,1562,2899.59993215,2941.81723183,2862.28875964,3027.18030487
bottomLayer,2.5600000134695859,1549,2812.09966514,2844.91723944,2768.29642224,2919.70824641
topLayer,2.5600000134695859,1549,2980.61567596,2996.00754026,2960.35880237,3015.93457564
enthalpyMean,2.5600000134695859,1549,2900.85362435,2943.79070641,2865.20678206,3026.62414107
bottomLayer,2.5699999648535052,1545,2812.95413812,2847.83313399,2769.41564769,2924.48814874
topLayer,2.5699999648535052,1545,2982.66566097,2999.41025822,2962.5791464,3030.98977627
enthalpyMean,2.5699999648535052,1545,2903.03031535,2946.59044163,2865.71208987,3031.26877628
bottomLayer,2.5800000227479241,1571,2818.91991284,2852.51811509,2772.75622193,2934.12729807
topLayer,2.5800000227479241,1571,2987.53133577,3003.96667787,2965.1920483,3044.09717308
enthalpyMean,2.5800000227479241,1571,2909.1639385,2951.49235329,2867.96767836,3043.79826984
bottomLayer,2.5899999863358398,1578,2822.14718544,2855.11129805,2775.23357014,2940.93110796
topLayer,2.5899999863358398,1578,2992.3318145,3006.78777441,2967.42947404,3046.6934772
enthalpyMean,2.5899999863358398,1578,2913.40835082,2955.03447435,2870.15688681,3053.73596051
bottomLayer,2.600000022745482,1598,2826.98293686,2857.51525377,2778.18531012,2942.10839795
topLayer,2.600000022745482,1598,2996.35521067,3009.25159317,2970.43104998,3046.6752267
enthalpyMean,2.600000022745482,1598,2917.20948704,2957.66101044,2871.78852606,3054.52290706
