temperature_component,time_s,particle_count,temperature_median_K,temperature_mean_K,temperature_p25_K,temperature_p75_K
topLayer,1.6299999917980879,2182,2981.04951008,2977.23570852,2941.88155342,2996.37470842
enthalpyMean,1.6299999917980879,2182,2950.96642374,2962.39632058,2887.15438715,3032.87365119
bottomLayer,1.6399999731926767,2171,2844.84139127,2859.7898248,2802.93536304,2906.28335642
topLayer,1.6399999731926767,2171,2983.65555019,2981.62415188,2945.7367048,2996.92145884
enthalpyMean,1.6399999731926767,2171,2949.26151134,2960.25466613,2886.00084676,3026.9570378
bottomLayer,1.6499999831239105,2121,2839.31229168,2856.0863229,2801.90998561,2898.93162276
topLayer,1.6499999831239105,2121,2985.20721141,2984.82804651,2948.53433118,2997.79965503
enthalpyMean,1.6499999831239105,2121,2943.21480392,2956.40771558,2885.32118969,3015.75474273
bottomLayer,1.6599999756720412,2030,2831.30221457,2852.7926296,2800.76903522,2893.62718497
topLayer,1.6599999756720412,2030,2983.9467771,2985.45156213,2950.0172985,2998.62925778
enthalpyMean,1.6599999756720412,2030,2934.75199389,2951.39232368,2882.37658648,3009.72620035
bottomLayer,1.6699999658114617,1974,2825.30733717,2852.00702757,2800.0114028,2895.90212076
topLayer,1.6699999658114617,1974,2982.07024303,2986.47861985,2949.25896934,2998.81857273
enthalpyMean,1.6699999658114617,1974,2926.10317025,2950.1322664,2880.52580621,3010.30622075
bottomLayer,1.6799999890663206,1913,2819.51875313,2850.80093322,2798.91827657,2895.64986605
topLayer,1.6799999890663206,1913,2981.20176913,2987.35408357,2948.4162495,2999.07039082
enthalpyMean,1.6799999890663206,1913,2919.21234441,2948.31709947,2878.58553365,3010.60024149
bottomLayer,1.6899999913565775,1918,2818.53564499,2854.38516531,2798.34172528,2899.63859237
topLayer,1.6899999913565775,1918,2982.58666565,2992.01401777,2948.20124174,3016.51583442
enthalpyMean,1.6899999913565775,1918,2916.16166788,2951.6728645,2878.25296425,3015.8016664
bottomLayer,1.7000000170528173,1931,2817.50220141,2855.6918417,2797.76187744,2902.46251299
topLayer,1.7000000170528173,1931,2984.94303251,2995.8793065,2948.42330161,3025.16889938
enthalpyMean,1.7000000170528173,1931,2915.39855946,2954.38348128,2877.62559277,3021.06985955
bottomLayer,1.7100000115737632,1918,2814.51290522,2846.63956879,2795.75530521,2890.95932229
topLayer,1.7100000115737632,1918,2954.77881539,2968.81444898,2933.18843547,2992.60390158
enthalpyMean,1.7100000115737632,1918,2905.35890887,2941.87750733,2872.26140981,3000.58454943
bottomLayer,1.7200000100452284,1931,2808.96548587,2836.89606931,2789.93253262,2877.58387714
topLayer,1.7200000100452284,1931,2937.20739266,2951.78492706,2919.308834,2970.15302285
enthalpyMean,1.7200000100452284,1931,2896.00251335,2931.49090165,2866.89303806,2984.61739568
bottomLayer,1.7300000225965306,1925,2807.14817052,2833.62308319,2786.5363424,2873.76609978
topLayer,1.7300000225965306,1925,2942.73816089,2961.50616716,2924.76052217,2981.62691185
enthalpyMean,1.7300000225965306,1925,2895.55924121,2930.54198962,2865.51890387,2983.19666358
bottomLayer,1.7399999716705126,1897,2805.53078654,2834.49856352,2784.04787204,2874.854389
topLayer,1.7399999716705126,1897,2948.54548332,2970.81807443,2931.31147749,2988.9757063
enthalpyMean,1.7399999716705126,1897,2895.16488987,2932.0502338,2865.40095491,2983.38808536
bottomLayer,1.7500000336261319,1937,2806.46859274,2839.42048082,2784.32627623,2882.8327022
topLayer,1.7500000336261319,1937,2960.41914089,2981.57447574,2938.01314668,2999.95051541
enthalpyMean,1.7500000336261319,1937,2897.06438045,2938.50518014,2866.48745475,2998.48122954
bottomLayer,1.7599999751132831,1936,2806.64259974,2840.88343723,2784.3123725,2889.20598138
topLayer,1.7599999751132831,1936,2967.17659544,2985.88518481,2941.72007164,3014.63601359
enthalpyMean,1.7599999751132831,1936,2897.82152982,2940.31781092,2867.35159461,3002.6302785
